;regiao_saude;retencao_geral
0;13008;0.22487745098039214
0;13001;0.7073693769465828
0;13009;0.22051753393665158
0;13002;0.3409313725490196
0;13003;0.34628851540616246
0;13004;0.21176470588235294
0;13006;0.19730392156862747
0;13005;0.30943627450980393
0;13007;0.17647058823529413
0;16002;0.1323529411764706
0;16003;0.3137254901960784
0;16001;0.3584558823529412
0;29003;0.45955882352941174
0;29001;0.4362745098039216
0;29026;0.538235294117647
0;29022;0.39276085434173674
0;29006;0.5509803921568628
0;29010;0.4610294117647059
0;29024;0.24632352941176472
0;29025;0.4522435897435897
0;29008;0.1625
0;29028;0.8113620448179272
0;29002;0.46078431372549017
0;29015;0.37500000000000006
0;29021;0.4632352941176471
0;29013;0.35784313725490197
0;29005;0.3223039215686274
0;29007;0.5791666666666667
0;29012;0.5769812091503267
0;29004;0.503034281894576
0;29020;0.7360839215083151
0;29016;0.5783263305322128
0;29017;0.29411764705882354
0;29019;0.2360294117647059
0;29018;0.3602941176470588
0;29027;0.28431372549019607
0;29011;0.25765931372549017
0;29009;0.5122549019607843
0;29023;0.2838235294117647
0;29014;0.37234477124183
0;23012;0.18125
0;23014;0.2867647058823529
0;23006;0.32009803921568625
0;23001;0.9090863370482353
0;23007;0.3958333333333333
0;23019;0.28308823529411764
0;23021;0.7677112511671336
0;23004;0.33206009676597914
0;23005;0.3639705882352941
0;23016;0.2696078431372549
0;23011;0.6896008403361344
0;23022;0.3885854341736695
0;23002;0.3777310924369748
0;23015;0.36825980392156865
0;23020;0.487689393939394
0;23010;0.19649085595776775
0;23003;0.5720681032970709
0;23013;0.3554976477770596
0;23017;0.22549019607843135
0;23018;0.33664215686274507
0;23009;0.3743872549019608
0;23008;0.3481156098803158
0;53001;0.8300396078344818
0;32002;0.8823738263569685
0;32005;0.465814142642703
0;32004;0.6275066844919786
0;52004;0.31719771241830064
0;52011;0.6579140630611219
0;52001;0.8334341090517166
0;52002;0.5165387850513143
0;52012;0.2144607843137255
0;52007;0.15808823529411764
0;52017;0.43821778711484594
0;52005;0.3504901960784314
0;52006;0.15808823529411764
0;52013;0.38681722689075626
0;52008;0.29236694677871145
0;52003;0.23513655462184874
0;52009;0.40614495798319333
0;52018;0.2948529411764706
0;52016;0.5235671191553545
0;52014;0.2764180672268908
0;52010;0.4564950980392157
0;52015;0.4509664842326132
0;15011;0.41547516065249623
0;15007;0.21911764705882353
0;15013;0.007352941176470588
0;15001;0.2683433600713012
0;15002;0.49066876750700283
0;15012;0.335609243697479
0;15006;0.8175141808652343
0;15009;0.35669191919191917
0;15003;0.3672926746456158
0;15004;0.41293767507002804
0;15014;0.21100315126050417
0;15008;0.4677871148459383
0;15010;0.37366775381481265
0;26001;0.23161764705882354
0;26009;0.7396446078431371
0;26003;0.6228548616416264
0;26008;0.2978087068160597
0;26005;0.26225490196078427
0;26010;0.86214990778785
0;26002;0.3457767722473605
0;26007;0.36519607843137253
0;26004;0.18504901960784315
0;26012;0.3799019607843137
0;26006;0.4291841736694678
0;26011;0.2772058823529412
0;22011;0.3174019607843137
0;22003;0.2555147058823529
0;22002;0.19117647058823528
0;22005;0.5183823529411765
0;22009;0.20404411764705882
0;22001;0.2181372549019608
0;22010;0.06764705882352941
0;22008;0.125
0;22004;0.8824979146670323
0;22006;0.217560553633218
0;41002;0.745193365933163
0;41012;0.6237745098039217
0;41014;0.4699754901960785
0;41017;0.6375626609559508
0;41018;0.392156862745098
0;41016;0.5583346800258565
0;41011;0.3311974789915967
0;41020;0.4787990196078432
0;41015;0.7657180586138198
0;41008;0.5296873588144936
0;41010;0.565373972169513
0;41005;0.43143382352941173
0;41003;0.7292542016806722
0;41019;0.476126508295626
0;41013;0.3277072192513369
0;41007;0.49754901960784315
0;41021;0.2426470588235294
0;41009;0.588903743315508
0;41001;0.35110294117647056
0;41004;0.41666666666666663
0;41022;0.3517156862745098
0;41006;0.38766339869281047
0;33001;0.5402836134453781
0;33007;0.4852941176470588
0;33002;0.5630769353195824
0;33004;0.6816151373136666
0;33005;0.6310542647774688
0;33009;0.6157053594553593
0;33008;0.7525289661319073
0;33003;0.5177696078431373
0;33006;0.5107471589456217
0;24004;0.3813725490196078
0;24008;0.17463235294117646
0;24003;0.26280637254901956
0;24006;0.4554924242424242
0;24002;0.6822478991596639
0;24001;0.38566176470588237
0;24007;0.8249642567412554
0;24005;0.44800420168067223
0;11001;0.45996732026143794
0;11002;0.60256615492715
0;11006;0.2349264705882353
0;11003;0.43948306595365416
0;11005;0.20588235294117646
0;11004;0.6495390709525202
0;11007;0.3053416955017301
0;14001;0.5646650326797386
0;14002;0.24852941176470586
0;43001;0.538577507651902
0;43003;0.46948529411764706
0;43015;0.331749464491679
0;43010;0.8625937142587063
0;43026;0.49509803921568624
0;43029;0.8350140056022409
0;43027;0.5881620378647914
0;43021;0.6400910364145659
0;43013;0.38139880952380956
0;43022;0.383578431372549
0;43008;0.5264050862630142
0;43016;0.5747549019607843
0;43019;0.24789915966386555
0;43025;0.6780024509803922
0;43030;0.49509803921568624
0;43020;0.5128676470588235
0;43009;0.3946078431372549
0;43007;0.5324060228227826
0;43014;0.44742647058823526
0;43023;0.9305468020541551
0;43004;0.2817752100840336
0;43017;0.8292045985060691
0;43011;0.5261537458120502
0;43005;0.30637254901960786
0;43012;0.4297093837535014
0;43018;0.48210784313725485
0;43006;0.49098097572362276
0;43028;0.8298611111111112
0;43002;0.6299019607843137
0;43024;0.3272058823529412
0;42008;0.5777899969905095
0;42003;0.44371498599439774
0;42002;0.6694295900178254
0;42007;0.7619996586213327
0;42001;0.45211773305813546
0;42013;0.620220588235294
0;42010;0.5039438502673796
0;42011;0.7382800002285296
0;42014;0.3160845588235294
0;42016;0.4181284129813541
0;42009;0.5082720588235294
0;42005;0.748572852800794
0;42017;0.6441176470588235
0;42006;0.6900223142870201
0;42012;0.7614266839100239
0;42015;0.7085959383753502
0;42004;0.5659970238095238
0;28007;0.45036764705882354
0;28001;0.8234165738409165
0;28006;0.38035926491808847
0;28002;0.46652369281045747
0;28005;0.3665032679738562
0;28003;0.5908942364824719
0;28004;0.548980614973262
0;17002;0.09558823529411764
0;17005;0.2029411764705882
0;17001;0.5441176470588235
0;17003;0.1336898395721925
0;17004;0.15441176470588236
0;17007;0.08088235294117647
0;17006;0.8596659251936069
0;17008;0.0625
0;27007;0.6811274509803921
0;27004;0.10294117647058823
0;27005;0.43350840336134455
0;27003;0.2523461760269719
0;27008;0.29411764705882354
0;27006;0.41691176470588237
0;27010;0.11416408668730649
0;27001;0.7304823213870529
0;27002;0.0522875816993464
0;27009;0.13480392156862747
0;50003;0.51900068885363
0;50001;0.6544135859814926
0;50002;0.07720588235294118
0;50004;0.45885854341736687
0;51002;0.7421034736533961
0;51001;0.34375
0;51013;0.5945607088989441
0;51004;0.3952205882352941
0;51008;0.23897058823529413
0;51007;0.5378676470588235
0;51011;0.3370098039215686
0;51010;0.2218508615567439
0;51003;0.2426470588235294
0;51015;0.3161764705882353
0;51016;0.13602941176470587
0;51014;0.5570409982174688
0;51009;0.08823529411764706
0;51005;0.31241830065359477
0;51006;0.31200980392156863
0;51012;0.29105392156862747
0;25010;0.32383578431372545
0;25001;0.8028812486533075
0;25015;0.1170343137254902
0;25002;0.24448529411764705
0;25003;0.07352941176470588
0;25009;0.4110294117647059
0;25016;0.7881906051894442
0;25008;0.27083333333333337
0;25004;0.23039215686274508
0;25007;0.2781862745098039
0;25011;0.21323529411764705
0;25012;0.26838235294117646
0;25014;0.21286764705882352
0;25005;0.13725490196078433
0;25006;0.20441176470588232
0;25013;0.2867647058823529
0;35091;0.18786764705882353
0;35156;0.23008578431372548
0;35142;0.5321778711484594
0;35074;0.5081359816653933
0;35062;0.7334598102061338
0;35051;0.5387225811641901
0;35133;0.28511323955744367
0;35157;0.8404195501730104
0;35112;0.532162384184443
0;35093;0.5759692513368985
0;35072;0.6355843930428728
0;35031;0.6583230889011822
0;35022;0.36888422035480856
0;35172;0.4959893048128342
0;35153;0.32598039215686275
0;35162;0.35616852510234864
0;35163;0.5263279311960918
0;35021;0.7202826390006696
0;35083;0.27308006535947715
0;35101;0.6397058823529411
0;35011;0.4775567777516985
0;35092;0.4955882352941176
0;35071;0.8562850140056022
0;35061;0.5123774509803922
0;35155;0.5860169971680568
0;35023;0.5287858125706423
0;35064;0.8064233254490608
0;35121;0.36659663865546216
0;35131;0.4812188532344242
0;35014;0.44408405446864757
0;35095;0.6505427170868349
0;35052;0.3202205882352941
0;35041;0.5482350297556271
0;35032;0.2757352941176471
0;35063;0.5337469488204782
0;35073;0.46421812326953915
0;35171;0.7511309597769753
0;35143;0.48018207282913167
0;35065;0.16176470588235295
0;35012;0.3374752345173151
0;35174;0.6977035379369139
0;35161;0.3597315368455074
0;35103;0.5089867304554563
0;35173;0.4752801120448179
0;35151;0.5337269756387403
0;35102;0.3764705882352941
0;35013;0.3968454259234058
0;35034;0.7443483275663206
0;35015;0.6007691715482638
0;35111;0.3235294117647059
0;35154;0.29117647058823526
0;35081;0.5496323529411765
0;35082;0.5400210084033614
0;35141;0.6200192577030812
0;35132;0.5993426332094152
0;35033;0.5926454672778202
0;35115;0.0661764705882353
0;35152;0.014705882352941176
0;35094;0.46249999999999997
0;35113;0.16299019607843138
0;35104;0.29989495798319327
0;35114;0.3829656862745098
0;35016;0.6540528714948184
0;12001;0.125
0;12003;0.31495098039215685
0;12002;0.5664128151260505
0;21001;0.17647058823529413
0;21006;0.14583333333333334
0;21016;0.8196908966936056
0;21005;0.28186274509803916
0;21007;0.4789915966386554
0;21014;0.34987745098039214
0;21003;0.3112745098039216
0;21008;0.5528388278388278
0;21009;0.2193627450980392
0;21004;0.26155462184873945
0;21002;0.18872549019607843
0;21015;0.16911764705882354
0;21013;0.14758403361344535
0;21011;0.2862745098039216
0;21018;0.14338235294117646
0;21012;0.28860294117647056
0;21019;0.21691176470588236
0;21010;0.2696078431372549
0;21017;0.3271533613445379
0;31016;0.7814835514808414
0;31068;0.23529411764705882
0;31040;0.19301470588235295
0;31008;0.4963235294117647
0;31041;0.17647058823529413
0;31001;0.5083030939648586
0;31094;0.2759803921568627
0;31092;0.49264705882352944
0;31013;0.5425622171945702
0;31060;0.33455882352941174
0;31095;0.34191176470588236
0;31006;0.6151960784313725
0;31090;0.0625
0;31064;0.2095588235294118
0;31075;0.8184064437740909
0;31061;0.23529411764705882
0;31070;0.44705882352941173
0;31087;0.329656862745098
0;31044;0.3639705882352941
0;31019;0.17769607843137253
0;31030;0.27340686274509807
0;31021;0.540502185722774
0;31015;0.45772058823529416
0;31037;0.8832211520143032
0;31017;0.5015821759750605
0;31047;0.3272058823529412
0;31011;0.41911764705882354
0;31083;0.15441176470588236
0;31028;0.33235294117647063
0;31007;0.7148284313725491
0;31049;0.29534313725490197
0;31055;0.25245098039215685
0;31024;0.5025735294117647
0;31010;0.31985294117647056
0;31089;0.17279411764705882
0;31072;0.5292094043499753
