;regiao_saude;retencao_geral
0;27005;0.6795721594422893
0;27007;0.5477572278911566
0;27004;0.8373333333333334
0;27001;0.746043516943059
0;27003;0.646677559912854
0;27006;0.6571428571428571
0;27010;0.6696153846153846
0;27008;0.7269230769230769
0;27002;0.7462962962962962
0;27009;0.7358333333333335
0;13008;0.6019047619047619
0;13002;0.662176009644364
0;13009;0.758146151542378
0;13001;0.7117828436120879
0;13003;0.6682343234323431
0;13007;0.8559322033898306
0;13004;0.7425217974513749
0;13006;0.768199233716475
0;13005;0.7558943089430894
0;16002;0.7150537634408601
0;16001;0.8030517848164908
0;16003;0.7538239538239538
0;29001;0.6140328697850822
0;29025;0.6381628472537563
0;29026;0.6143071643071643
0;29022;0.5826412842455624
0;29010;0.6428827444956478
0;29024;0.6059682539682539
0;29002;0.531025111669425
0;29006;0.5472250409115053
0;29019;0.7752057613168725
0;29015;0.5078674576015002
0;29008;0.7282407407407407
0;29028;0.6189126221255964
0;29012;0.6453733098177542
0;29018;0.5985442661913251
0;29023;0.7552083333333334
0;29011;0.5536146471790037
0;29003;0.6284660766961652
0;29005;0.7107777777777777
0;29004;0.6648207780379912
0;29027;0.7249031007751938
0;29016;0.6612335230312759
0;29020;0.6472979871264463
0;29007;0.589832251082251
0;29017;0.6256830601092895
0;29021;0.7574979114452798
0;29013;0.648611111111111
0;29009;0.7591986423844832
0;29014;0.5621399176954732
0;32002;0.5951994861313342
0;32004;0.5754291088834498
0;32005;0.6177624438511415
0;52004;0.5414633842837939
0;52017;0.6176111767020858
0;52003;0.5655328798185941
0;52007;0.7403846153846154
0;52011;0.5630736802224405
0;52001;0.6751558896454489
0;52002;0.5622238522448606
0;52018;0.8222222222222222
0;52010;0.6047619047619047
0;52015;0.6479313462139948
0;52005;0.6044534516866533
0;52006;0.9
0;52013;0.608645727794664
0;52014;0.6422340898976413
0;52009;0.6906966490299824
0;52016;0.6399092970521542
0;52012;0.7504703115814227
0;52008;0.535218253968254
0;21002;0.6325490196078432
0;21001;0.7700534759358288
0;21006;0.7865151515151516
0;21005;0.7258252164502165
0;21008;0.63765498447441
0;21009;0.6578947368421053
0;21004;0.6119341563786008
0;21011;0.5596264367816093
0;21003;0.741304347826087
0;21018;0.873611111111111
0;21019;0.9791666666666666
0;21007;0.7434895833333334
0;21012;0.7784648187633263
0;21010;0.685617103984451
0;21017;0.6204564666103127
