;regiao_saude;retencao_geral
0;13008;0.5286939775910365
0;13001;0.6529572165728369
0;13009;0.5207224556489263
0;13002;0.46385258760366893
0;13003;0.5304534313725489
0;13004;0.4352736928104575
0;13006;0.3976238222561752
0;13005;0.5965854479046522
0;13007;0.4522058823529412
0;16002;0.35798319327731093
0;16003;0.544244899743621
0;16001;0.7122024816855584
0;29003;0.603875441723739
0;29001;0.6622153950475433
0;29026;0.6743208576794216
0;29022;0.6633248177126257
0;29006;0.6572380273088355
0;29010;0.6279528826133497
0;29024;0.720360737878039
0;29025;0.6861064165485199
0;29008;0.6550449346405228
0;29028;0.723672866962224
0;29002;0.6731545877022523
0;29015;0.647083505737319
0;29021;0.6029692937781173
0;29013;0.628481832709774
0;29005;0.5493976761972119
0;29007;0.7119999424595013
0;29012;0.7534374346438047
0;29004;0.6270258940939707
0;29020;0.7370500262068702
0;29016;0.6291293163535809
0;29017;0.7588978015448603
0;29019;0.5589441332088391
0;29018;0.6868378074220466
0;29027;0.694675528239542
0;29011;0.5466463479331126
0;29009;0.6667549612815655
0;29023;0.42720086286262754
0;29014;0.5658769947372888
0;23012;0.49672529268117493
0;23014;0.5193300980065686
0;23006;0.5409369429590017
0;23001;0.7551598737451175
0;23007;0.6224888571395926
0;23019;0.56494124387723
0;23021;0.7373928613568106
0;23004;0.5372957516339869
0;23005;0.5373895712131006
0;23016;0.43012079831932776
0;23011;0.6106400083074737
0;23022;0.48821060209327466
0;23002;0.5296534269379163
0;23015;0.6511569211017739
0;23020;0.5488693180106842
0;23010;0.5662409051235777
0;23003;0.5842715642555795
0;23013;0.5680226942175473
0;23017;0.5500525210084033
0;23018;0.5403098739495799
0;23009;0.5473247953027364
0;23008;0.563275677961243
0;53001;0.6889917352819861
0;32002;0.7395514841439329
0;32005;0.7265779810721721
0;32004;0.7327209081727363
0;52004;0.5691456793027141
0;52011;0.645489248396523
0;52001;0.708310243636884
0;52002;0.6005913768333786
0;52012;0.6165393556126687
0;52007;0.6247549019607843
0;52017;0.6407816173241365
0;52005;0.7284742859757656
0;52006;0.28900560224089633
0;52013;0.7283907269201387
0;52008;0.6427871148459384
0;52003;0.5923583649145933
0;52009;0.6054796918767508
0;52018;0.7170947924624396
0;52016;0.7000782649582958
0;52014;0.6351803221288516
0;52010;0.6517955288175876
0;52015;0.7450610389097906
0;15011;0.6161411640190837
0;15007;0.5349614845938374
0;15013;0.3005514705882353
0;15001;0.6269390175856439
0;15002;0.6132687295723722
0;15012;0.6306072807911043
0;15006;0.7150944615044409
0;15009;0.5572938091320444
0;15003;0.6888264701305359
0;15004;0.6759692513368983
0;15014;0.5508578431372549
0;15008;0.5831285447879158
0;15010;0.550172152194211
0;26001;0.6423998591278003
0;26009;0.6697118761348865
